id_usuario,waze,edad,vehiculo,gama_celular
1,0,69,1,baja
2,1,67,1,no se
3,0,22,0,baja
4,1,49,1,no se
5,0,42,0,alta
6,0,25,1,baja
7,1,30,1,no se
8,0,30,0,media
9,1,64,1,alta
10,1,78,1,media
11,0,75,0,baja
12,1,79,1,alta
13,1,52,1,alta
14,0,33,0,media
15,0,79,0,alta
16,1,79,1,no se
17,0,37,1,baja
18,0,65,1,baja
19,0,33,1,baja
20,0,33,1,baja
21,0,73,0,alta
22,1,25,1,no se
23,0,41,0,baja
24,1,23,1,media
25,0,40,0,no se
26,0,65,0,media
27,0,26,1,baja
28,0,16,0,no se
29,0,75,0,baja
30,0,39,0,baja
31,0,72,0,no se
32,0,57,0,no se
33,1,22,1,no se
34,1,33,1,no se
35,0,41,1,baja
36,1,20,1,alta
37,0,68,0,alta
38,1,22,1,no se
39,1,53,1,media
40,0,14,0,baja
41,1,35,1,no se
42,0,15,0,baja
43,0,57,0,baja
44,0,15,1,alta
45,1,50,1,media
46,1,24,1,alta
47,1,65,1,no se
48,1,51,1,alta
49,1,42,1,no se
50,1,66,1,no se
